,prompt,output
0,This,This is a great that the start the real the car of the
1,I,If the company is a few days a lot of the future of
2,Tesla,Tesla come to the should be a few months are a time to 
3,Entertainment,Entertainment is a great that the start the real the company to
4,Just,Just sooner than the future of the super factory is a 
5,We,Were all the future is a great back to a sec of the 
6,A,And the should be a few months are a time to a sec 
7,Haha,"Haha true, the should be a few days a lot of the futur"
8,There,There are a great back to a sec of the future of the fu
9,Good,Good point interview in the future is a great back to 
10,Thanks,Thanks for a few months are a time to a sec of the super
11,Bitcoin,Bitcoin is a few days a lot of the future of the future o
12,Ascent,Ascenting the super looks like the best and the should b
13,Yeah,Yeaha down the future is a great that the start the ca
14,Major,Major to a sec of the super looks like the future of th
15,Tomorrow,Tomorrow at a few months are a time to a sec of the super 
16,Landing,Landing on the future of the super factory is a great bac
17,Indeed,Indeed service is a great back the start the car is a lo
18,Maybe,Maybe the should be a few months are a time to a sec of
19,Possible,Possible the production is a lot of the future of the futu
20,Burst,Bursting the real the company to be a few months are a 
21,Autopilot,Autopilot of the super factory is a great back to a sec of 
22,China,China control static and the should be a few months are
23,Also,Alsome is the most to a sec of the super looks like th
24,London,London of the super factory is a great back to a sec of 
25,Roughly,Roughly is a great that make sure of a few days a lot of 
