,prompt,output
0,This,This is a great to see in the super cars are something
1,I,IC the super cars are something like the support fo
2,Tesla,Tesla car is a lot of with a million to the most likely
3,Entertainment,Entertainment is a lot of with a million to the moon is a lot o
4,Just,Just in the super cars are something like the support 
5,We,We this year of any company the support for the supp
6,A,Absoluser in a few months are a lot of with a milli
7,Haha,Haha truet in the super cars are something like the su
8,There,There are a lot of with a million to the moon is a lot 
9,Good,Good!! I have the support for the support for the supp
10,Thanks,Thanks for the support for the support for the support f
11,Bitcoin,Bitcoin completed to be a great stational for a lot of th
12,Ascent,Ascent reading a lot of with a million to the moon is a 
13,Yeah,Yeahaly floor is a great to see the real the support f
14,Major,Major Autopilot by the solar sec years and a few months
15,Tomorrow,Tomorrow with Starship is a lot of with a million to the m
16,Landing,Landing on Model X reading the start to see the completed
17,Indeed,Indeed on the support for the support for the support fo
18,Maybe,Maybering the shows a lot of with a million to the moon
19,Possible,"Possible can be a great thread, but the super cars are som"
20,Burst,Bursties with Starship is a great weeks an all the star
21,Autopilot,Autopilot with a million to the most likely the start to se
22,China,Chinactly an all the starting an all the starting an al
23,Also,Alsoriza to be a great with a lot of with a million to
24,London,Londons of a million to the moon is a great to see the r
25,Roughly,Roughly and the super cars are something like the support
